concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Yellow Barn presents","Saturday, August 5, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",28.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Sunday, August 6, 2017","2:30 pm","Christoph von Dohnányi, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Sevenars Music Festival presents","Sunday, August 6, 2017","4:00 pm","Chamber Music","The Academy","South Worthington",20.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, August 6, 2017","4:00 pm","Dover String Quartet","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Monday, August 7, 2017","7:30 pm","Emerson String Quartet","First Congregational Church","Wellfleet",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Tuesday, August 8, 2017","7:30 pm","The Teacher and the Student","Cotuit Center for the Arts","Cotuit",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Tuesday, August 8, 2017","8:00 pm","Garrick Ohlsson, piano","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Landmarks Orchestra presents","Wednesday, August 9, 2017","7:00 pm","Anthems of the World","Hatch Shell Boston Esplanade","Boston",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Wednesday, August 9, 2017","8:00 pm","Handel and Haydn Society","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Thursday, August 10, 2017","7:30 pm","Chamber Music","First Congregational Church","Chatham",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Thursday, August 10, 2017","8:00 pm","Festival of Contemporary Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Friday, August 11, 2017","10:30 am","Lahav Shani, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Friday, August 11, 2017","2:30 pm","Festival of Contemporary Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
