concert_name,concert_date,concert_time,artist,venue,venue_address,cost, created_at,updated_at
Boston Symphony Tanglewood (K) presents,"Friday, August 4, 2017",8:00 PM,"Hans Graf, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 5, 2017",10:30 AM,"Christoph von Dohn??nyi, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 5, 2017",8:00 PM,"Hans Graf, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Sunday, August 6, 2017",2:30 PM,"Christoph von Dohn??nyi, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 11, 2017",10:30 AM,"Lahav Shani, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 11, 2017",8:00 PM,"Giancarlo Guerrero, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 12, 2017",2:30 PM,"Lahav Shani, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 12, 2017",8:00 PM,"Christoph von Dohn??nyi, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 18, 2017",8:00 PM,"David Afkham, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 19, 2017",10:30 AM,"Andris Nelsons, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Sunday, August 20, 2017",2:30 PM,"Andris Nelsons, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 26, 2017",10:30 AM,"Andris Nelsons, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 26, 2017",8:00 PM,"Andris Nelsons, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
